fipstate_mapped,county,naics,est
NORTH CAROLINA,Polk County,Educational Services,8
TEXAS,Hardin County,Educational Services,8
IOWA,Marion County,Educational Services,8
NORTH CAROLINA,Rockingham County,Educational Services,8
GEORGIA,Gordon County,Educational Services,8
GEORGIA,Gilmer County,Educational Services,8
TEXAS,Liberty County,Educational Services,8
OKLAHOMA,Jackson County,Educational Services,8
KANSAS,Crawford County,Educational Services,8
NEW YORK,Steuben County,Educational Services,8
GEORGIA,Catoosa County,Educational Services,8
TEXAS,Walker County,Educational Services,8
TEXAS,San Patricio County,Educational Services,8
NEW YORK,Herkimer County,Educational Services,8
MISSOURI,Howell County,Educational Services,8
MINNESOTA,Clay County,Educational Services,8
OREGON,Crook County,Educational Services,8
MINNESOTA,Houston County,Educational Services,8
ALABAMA,Etowah County,Educational Services,8
MINNESOTA,Itasca County,Educational Services,8
MINNESOTA,Kandiyohi County,Educational Services,8
ARKANSAS,Clark County,Educational Services,8
MINNESOTA,Martin County,Educational Services,8
MAINE,Franklin County,Educational Services,8
SOUTH CAROLINA,Jasper County,Educational Services,8
PENNSYLVANIA,Clarion County,Educational Services,8
SOUTH CAROLINA,Greenwood County,Educational Services,8
ALABAMA,St. Clair County,Educational Services,8
OHIO,Clinton County,Educational Services,8
MINNESOTA,Nicollet County,Educational Services,8
MISSOURI,Callaway County,Educational Services,8
MISSISSIPPI,Alcorn County,Educational Services,8
ALASKA,Sitka Borough,Educational Services,8
OHIO,Darke County,Educational Services,8
PENNSYLVANIA,Perry County,Educational Services,8
PENNSYLVANIA,Clearfield County,Educational Services,8
PENNSYLVANIA,Somerset County,Educational Services,8
NEW MEXICO,Rio Arriba County,Educational Services,8
ALABAMA,Elmore County,Educational Services,8
NEW YORK,Genesee County,Educational Services,8
WYOMING,Sweetwater County,Educational Services,8
ARKANSAS,Union County,Educational Services,8
TENNESSEE,Hamblen County,Educational Services,8
OHIO,Marion County,Educational Services,8
TENNESSEE,Greene County,Educational Services,8
OHIO,Knox County,Educational Services,8
WISCONSIN,Douglas County,Educational Services,8
OHIO,Athens County,Educational Services,8
TENNESSEE,Cheatham County,Educational Services,8
NORTH DAKOTA,Williams County,Educational Services,8
NEW YORK,Allegany County,Educational Services,8
PENNSYLVANIA,Carbon County,Educational Services,8
TENNESSEE,Anderson County,Educational Services,8
WISCONSIN,Grant County,Educational Services,8
ARKANSAS,Jefferson County,Educational Services,8
SOUTH DAKOTA,Codington County,Educational Services,8
MICHIGAN,Newaygo County,Educational Services,8
IDAHO,Elmore County,Educational Services,7
ALABAMA,Russell County,Educational Services,7
ALABAMA,Talladega County,Educational Services,7
IDAHO,Valley County,Educational Services,7
VIRGINIA,Prince Edward County,Educational Services,7
ALABAMA,Walker County,Educational Services,7
WISCONSIN,Shawano County,Educational Services,7
VIRGINIA,Orange County,Educational Services,7
WASHINGTON,Asotin County,Educational Services,7
VIRGINIA,Prince George County,Educational Services,7
GEORGIA,Sumter County,Educational Services,7
WISCONSIN,Calumet County,Educational Services,7
OHIO,Mercer County,Educational Services,7
COLORADO,Delta County,Educational Services,7
OHIO,Putnam County,Educational Services,7
COLORADO,Grand County,Educational Services,7
COLORADO,Park County,Educational Services,7
OHIO,Scioto County,Educational Services,7
OHIO,Madison County,Educational Services,7
WISCONSIN,Kewaunee County,Educational Services,7
ARKANSAS,Conway County,Educational Services,7
GEORGIA,Colquitt County,Educational Services,7
ARKANSAS,Carroll County,Educational Services,7
VIRGINIA,Waynesboro city,Educational Services,7
ARIZONA,Graham County,Educational Services,7
OHIO,Logan County,Educational Services,7
VIRGINIA,Pulaski County,Educational Services,7
OHIO,Defiance County,Educational Services,7
ILLINOIS,Clinton County,Educational Services,7
OREGON,Wasco County,Educational Services,7
NORTH CAROLINA,Hoke County,Educational Services,7
LOUISIANA,West Baton Rouge Parish,Educational Services,7
SOUTH DAKOTA,Davison County,Educational Services,7
SOUTH DAKOTA,Yankton County,Educational Services,7
NEW YORK,Chenango County,Educational Services,7
TENNESSEE,Lawrence County,Educational Services,7
NEW YORK,Delaware County,Educational Services,7
MAINE,Sagadahoc County,Educational Services,7
TENNESSEE,Warren County,Educational Services,7
MINNESOTA,Becker County,Educational Services,7
KENTUCKY,Scott County,Educational Services,7
KENTUCKY,Pike County,Educational Services,7
KENTUCKY,Laurel County,Educational Services,7
TEXAS,Cherokee County,Educational Services,7
KENTUCKY,Greenup County,Educational Services,7
KENTUCKY,Calloway County,Educational Services,7
MICHIGAN,St. Joseph County,Educational Services,7
MINNESOTA,Cass County,Educational Services,7
KENTUCKY,Barren County,Educational Services,7
PENNSYLVANIA,Venango County,Educational Services,7
NEBRASKA,Dawson County,Educational Services,7
PENNSYLVANIA,Bradford County,Educational Services,7
PENNSYLVANIA,Elk County,Educational Services,7
MISSOURI,Pettis County,Educational Services,7
MISSOURI,Marion County,Educational Services,7
MISSOURI,Audrain County,Educational Services,7
MISSISSIPPI,Oktibbeha County,Educational Services,7
SOUTH CAROLINA,Newberry County,Educational Services,7
MISSISSIPPI,Jones County,Educational Services,7
SOUTH CAROLINA,Abbeville County,Educational Services,7
MINNESOTA,Pine County,Educational Services,7
MINNESOTA,Mower County,Educational Services,7
MINNESOTA,McLeod County,Educational Services,7
SOUTH CAROLINA,Laurens County,Educational Services,7
KENTUCKY,Bullitt County,Educational Services,7
TEXAS,Brown County,Educational Services,7
NEW YORK,Schoharie County,Educational Services,7
IOWA,Wapello County,Educational Services,7
NORTH CAROLINA,Halifax County,Educational Services,7
ILLINOIS,Stephenson County,Educational Services,7
ILLINOIS,Woodford County,Educational Services,7
INDIANA,Adams County,Educational Services,7
INDIANA,Noble County,Educational Services,7
NORTH CAROLINA,Columbus County,Educational Services,7
INDIANA,Steuben County,Educational Services,7
INDIANA,White County,Educational Services,7
IOWA,Boone County,Educational Services,7
NEBRASKA,Madison County,Educational Services,7
OKLAHOMA,Custer County,Educational Services,7
IOWA,Marshall County,Educational Services,7
IOWA,Des Moines County,Educational Services,7
TEXAS,Maverick County,Educational Services,7
KANSAS,Harvey County,Educational Services,7
IOWA,Webster County,Educational Services,7
IOWA,Winneshiek County,Educational Services,7
VIRGINIA,Henry County,Educational Services,6
PENNSYLVANIA,Bedford County,Educational Services,6
SOUTH CAROLINA,Clarendon County,Educational Services,6
SOUTH CAROLINA,Cherokee County,Educational Services,6
TEXAS,Coryell County,Educational Services,6
VIRGINIA,Bristol city,Educational Services,6
WEST VIRGINIA,Fayette County,Educational Services,6
PENNSYLVANIA,Snyder County,Educational Services,6
PENNSYLVANIA,Pike County,Educational Services,6
OHIO,Ross County,Educational Services,6
OHIO,Shelby County,Educational Services,6
PENNSYLVANIA,Mc Kean County,Educational Services,6
VIRGINIA,Culpeper County,Educational Services,6
OHIO,Sandusky County,Educational Services,6
VIRGINIA,Mecklenburg County,Educational Services,6
VIRGINIA,Halifax County,Educational Services,6
OHIO,Lawrence County,Educational Services,6
TENNESSEE,McMinn County,Educational Services,6
WISCONSIN,Polk County,Educational Services,6
VIRGINIA,Lexington city,Educational Services,6
TENNESSEE,Loudon County,Educational Services,6
TEXAS,Anderson County,Educational Services,6
VIRGINIA,Wythe County,Educational Services,6
TENNESSEE,Franklin County,Educational Services,6
TENNESSEE,Cumberland County,Educational Services,6
WASHINGTON,Douglas County,Educational Services,6
WISCONSIN,Green County,Educational Services,6
SOUTH DAKOTA,Meade County,Educational Services,6
TEXAS,Van Zandt County,Educational Services,6
TEXAS,Henderson County,Educational Services,6
VIRGINIA,Tazewell County,Educational Services,6
TEXAS,Wharton County,Educational Services,6
WISCONSIN,Oneida County,Educational Services,6
TEXAS,Wilson County,Educational Services,6
WASHINGTON,Grays Harbor County,Educational Services,6
ALABAMA,Autauga County,Educational Services,6
MISSOURI,Newton County,Educational Services,6
IOWA,Jasper County,Educational Services,6
COLORADO,Fremont County,Educational Services,6
FLORIDA,Hendry County,Educational Services,6
MISSISSIPPI,Prentiss County,Educational Services,6
MISSISSIPPI,Pontotoc County,Educational Services,6
NEW MEXICO,Chaves County,Educational Services,6
ILLINOIS,Monroe County,Educational Services,6
COLORADO,Montrose County,Educational Services,6
NEW MEXICO,Lincoln County,Educational Services,6
NEW MEXICO,Los Alamos County,Educational Services,6
NEW MEXICO,McKinley County,Educational Services,6
IOWA,Union County,Educational Services,6
CALIFORNIA,Mariposa County,Educational Services,6
ILLINOIS,Randolph County,Educational Services,6
MISSISSIPPI,Hancock County,Educational Services,6
NEW YORK,Franklin County,Educational Services,6
IDAHO,Idaho County,Educational Services,6
LOUISIANA,Avoyelles Parish,Educational Services,6
NEW YORK,Greene County,Educational Services,6
INDIANA,Decatur County,Educational Services,6
NEW YORK,Orleans County,Educational Services,6
INDIANA,Greene County,Educational Services,6
FLORIDA,Jackson County,Educational Services,6
ILLINOIS,Macoupin County,Educational Services,6
MISSISSIPPI,Tippah County,Educational Services,6
NEBRASKA,Seward County,Educational Services,6
MICHIGAN,Alpena County,Educational Services,6
GEORGIA,Wayne County,Educational Services,6
MISSOURI,Polk County,Educational Services,6
LOUISIANA,Washington Parish,Educational Services,6
LOUISIANA,Vernon Parish,Educational Services,6
MONTANA,Lincoln County,Educational Services,6
IDAHO,Shoshone County,Educational Services,6
MISSOURI,Lincoln County,Educational Services,6
MISSOURI,Lafayette County,Educational Services,6
KANSAS,Cowley County,Educational Services,6
GEORGIA,Lumpkin County,Educational Services,6
ILLINOIS,Coles County,Educational Services,6
NEBRASKA,Otoe County,Educational Services,6
GEORGIA,Greene County,Educational Services,6
GEORGIA,Franklin County,Educational Services,6
GEORGIA,Fannin County,Educational Services,6
MICHIGAN,Branch County,Educational Services,6
ILLINOIS,Logan County,Educational Services,6
LOUISIANA,Plaquemines Parish,Educational Services,6
NEW YORK,Wyoming County,Educational Services,6
KANSAS,Ellis County,Educational Services,6
IOWA,Lee County,Educational Services,6
ARKANSAS,Hot Spring County,Educational Services,6
NORTH CAROLINA,Stokes County,Educational Services,6
NORTH DAKOTA,Stutsman County,Educational Services,6
MINNESOTA,Isanti County,Educational Services,6
KENTUCKY,Henderson County,Educational Services,6
IOWA,Bremer County,Educational Services,6
KENTUCKY,Harlan County,Educational Services,6
OHIO,Auglaize County,Educational Services,6
NORTH CAROLINA,Wilkes County,Educational Services,6
ARIZONA,Apache County,Educational Services,6
IOWA,Crawford County,Educational Services,6
NORTH CAROLINA,Surry County,Educational Services,6
MICHIGAN,Ionia County,Educational Services,6
MICHIGAN,Leelanau County,Educational Services,6
ARKANSAS,Independence County,Educational Services,6
MICHIGAN,Tuscola County,Educational Services,6
OHIO,Henry County,Educational Services,6
MINNESOTA,Nobles County,Educational Services,6
ALASKA,Ketchikan Gateway Borough,Educational Services,6
MINNESOTA,Morrison County,Educational Services,6
IOWA,Kossuth County,Educational Services,6
OHIO,Guernsey County,Educational Services,6
KENTUCKY,Nelson County,Educational Services,6
INDIANA,Lawrence County,Educational Services,6
ILLINOIS,Effingham County,Educational Services,5
KANSAS,Barton County,Educational Services,5
VIRGINIA,Hopewell city,Educational Services,5
INDIANA,Whitley County,Educational Services,5
IOWA,Jones County,Educational Services,5
TENNESSEE,Henderson County,Educational Services,5
INDIANA,Jasper County,Educational Services,5
IOWA,Buena Vista County,Educational Services,5
TENNESSEE,Henry County,Educational Services,5
TEXAS,Wood County,Educational Services,5
IOWA,Washington County,Educational Services,5
IOWA,Carroll County,Educational Services,5
IOWA,Cass County,Educational Services,5
VIRGINIA,Madison County,Educational Services,5
IDAHO,Jerome County,Educational Services,5
IOWA,Dickinson County,Educational Services,5
MISSOURI,Nodaway County,Educational Services,5
PENNSYLVANIA,Juniata County,Educational Services,5
MICHIGAN,Mason County,Educational Services,5
MISSOURI,Randolph County,Educational Services,5
IDAHO,Jefferson County,Educational Services,5
MICHIGAN,Barry County,Educational Services,5
TENNESSEE,Fayette County,Educational Services,5
MISSISSIPPI,Tishomingo County,Educational Services,5
MINNESOTA,Carlton County,Educational Services,5
INDIANA,Jackson County,Educational Services,5
MINNESOTA,Polk County,Educational Services,5
MINNESOTA,Sibley County,Educational Services,5
INDIANA,Gibson County,Educational Services,5
TENNESSEE,Carter County,Educational Services,5
IOWA,Muscatine County,Educational Services,5
INDIANA,Dubois County,Educational Services,5
MISSISSIPPI,Adams County,Educational Services,5
MINNESOTA,Lyon County,Educational Services,5
TENNESSEE,Claiborne County,Educational Services,5
VIRGINIA,Caroline County,Educational Services,5
VIRGINIA,Clarke County,Educational Services,5
MINNESOTA,Le Sueur County,Educational Services,5
VIRGINIA,Colonial Heights city,Educational Services,5
INDIANA,Posey County,Educational Services,5
IOWA,Mahaska County,Educational Services,5
INDIANA,Ripley County,Educational Services,5
ILLINOIS,Morgan County,Educational Services,5
MINNESOTA,Freeborn County,Educational Services,5
TENNESSEE,Dyer County,Educational Services,5
VIRGINIA,Floyd County,Educational Services,5
MINNESOTA,Fillmore County,Educational Services,5
TEXAS,Starr County,Educational Services,5
MINNESOTA,Cook County,Educational Services,5
VIRGINIA,Fluvanna County,Educational Services,5
SOUTH CAROLINA,Fairfield County,Educational Services,5
PENNSYLVANIA,Susquehanna County,Educational Services,5
INDIANA,De Kalb County,Educational Services,5
KENTUCKY,Logan County,Educational Services,5
NEW YORK,Fulton County,Educational Services,5
WISCONSIN,Clark County,Educational Services,5
NORTH CAROLINA,McDowell County,Educational Services,5
WISCONSIN,Lincoln County,Educational Services,5
KENTUCKY,Graves County,Educational Services,5
TEXAS,Erath County,Educational Services,5
TEXAS,Fayette County,Educational Services,5
ARKANSAS,Phillips County,Educational Services,5
OHIO,Highland County,Educational Services,5
OKLAHOMA,Grady County,Educational Services,5
TEXAS,Blanco County,Educational Services,5
NEW YORK,Tioga County,Educational Services,5
WISCONSIN,Barron County,Educational Services,5
WISCONSIN,Ashland County,Educational Services,5
OKLAHOMA,McClain County,Educational Services,5
NEW YORK,Montgomery County,Educational Services,5
WEST VIRGINIA,Randolph County,Educational Services,5
MISSOURI,Warren County,Educational Services,5
ARKANSAS,Greene County,Educational Services,5
KENTUCKY,Russell County,Educational Services,5
COLORADO,Archuleta County,Educational Services,5
KENTUCKY,McLean County,Educational Services,5
ALABAMA,Barbour County,Educational Services,5
ALABAMA,Clarke County,Educational Services,5
ALABAMA,Colbert County,Educational Services,5
WYOMING,Johnson County,Educational Services,5
OHIO,Adams County,Educational Services,5
ALABAMA,Dallas County,Educational Services,5
NORTH DAKOTA,Ramsey County,Educational Services,5
NORTH DAKOTA,Morton County,Educational Services,5
NORTH CAROLINA,Robeson County,Educational Services,5
ALABAMA,Pike County,Educational Services,5
OHIO,Perry County,Educational Services,5
ALASKA,Bethel Census Area,Educational Services,5
ALASKA,Southeast Fairbanks Census Area,Educational Services,5
ARKANSAS,Baxter County,Educational Services,5
ARKANSAS,Crawford County,Educational Services,5
NORTH CAROLINA,Scotland County,Educational Services,5
OKLAHOMA,Pittsburg County,Educational Services,5
VIRGINIA,Shenandoah County,Educational Services,5
COLORADO,Elbert County,Educational Services,5
OREGON,Umatilla County,Educational Services,5
TEXAS,Harrison County,Educational Services,5
GEORGIA,Chattahoochee County,Educational Services,5
GEORGIA,Dawson County,Educational Services,5
MONTANA,Richland County,Educational Services,5
KANSAS,Jefferson County,Educational Services,5
GEORGIA,Rabun County,Educational Services,5
TEXAS,Hopkins County,Educational Services,5
LOUISIANA,St. James Parish,Educational Services,5
OREGON,Union County,Educational Services,5
GEORGIA,Hart County,Educational Services,5
KANSAS,Miami County,Educational Services,5
GEORGIA,Peach County,Educational Services,5
NEBRASKA,Gage County,Educational Services,5
MICHIGAN,Mackinac County,Educational Services,5
NEBRASKA,Washington County,Educational Services,5
FLORIDA,Suwannee County,Educational Services,5
NEVADA,Elko County,Educational Services,5
WASHINGTON,Stevens County,Educational Services,5
KANSAS,Finney County,Educational Services,5
OKLAHOMA,Stephens County,Educational Services,5
NEW YORK,Cortland County,Educational Services,5
LOUISIANA,Beauregard Parish,Educational Services,5
OKLAHOMA,Woodward County,Educational Services,5
WEST VIRGINIA,Hancock County,Educational Services,5
NEW MEXICO,Grant County,Educational Services,5
GEORGIA,Ware County,Educational Services,5
KENTUCKY,Boyd County,Educational Services,5
KENTUCKY,Bourbon County,Educational Services,5
MARYLAND,Dorchester County,Educational Services,5
LOUISIANA,Union Parish,Educational Services,5
KANSAS,Gray County,Educational Services,4
KENTUCKY,Knott County,Educational Services,4
TEXAS,Colorado County,Educational Services,4
KANSAS,Atchison County,Educational Services,4
KENTUCKY,Johnson County,Educational Services,4
KANSAS,Marshall County,Educational Services,4
TEXAS,Cooke County,Educational Services,4
IOWA,Lyon County,Educational Services,4
IOWA,Poweshiek County,Educational Services,4
KANSAS,Nemaha County,Educational Services,4
IOWA,Mitchell County,Educational Services,4
TEXAS,Dawson County,Educational Services,4
TEXAS,Gaines County,Educational Services,4
TEXAS,Hale County,Educational Services,4
KENTUCKY,Breathitt County,Educational Services,4
IOWA,O,Educational Services,4
TEXAS,Polk County,Educational Services,4
TEXAS,Lamar County,Educational Services,4
OHIO,Hocking County,Educational Services,4
IOWA,Henry County,Educational Services,4
CALIFORNIA,Glenn County,Educational Services,4
GEORGIA,Putnam County,Educational Services,4
GEORGIA,Murray County,Educational Services,4
GEORGIA,Madison County,Educational Services,4
VIRGINIA,Williamsburg city,Educational Services,4
GEORGIA,Jasper County,Educational Services,4
GEORGIA,Effingham County,Educational Services,4
GEORGIA,Coffee County,Educational Services,4
FLORIDA,Wakulla County,Educational Services,4
FLORIDA,Hamilton County,Educational Services,4
FLORIDA,DeSoto County,Educational Services,4
WASHINGTON,Whitman County,Educational Services,4
COLORADO,Morgan County,Educational Services,4
WEST VIRGINIA,Logan County,Educational Services,4
CALIFORNIA,Tehama County,Educational Services,4
CALIFORNIA,Amador County,Educational Services,4
INDIANA,Wells County,Educational Services,4
ARKANSAS,Mississippi County,Educational Services,4
ARKANSAS,Miller County,Educational Services,4
WISCONSIN,Iowa County,Educational Services,4
ARKANSAS,Lafayette County,Educational Services,4
WISCONSIN,Marinette County,Educational Services,4
WISCONSIN,Marquette County,Educational Services,4
ARKANSAS,Franklin County,Educational Services,4
ARKANSAS,Crittenden County,Educational Services,4
ARKANSAS,Columbia County,Educational Services,4
ALASKA,Kodiak Island Borough,Educational Services,4
ALABAMA,Perry County,Educational Services,4
ALABAMA,DeKalb County,Educational Services,4
ALABAMA,Covington County,Educational Services,4
ALABAMA,Bibb County,Educational Services,4
VIRGINIA,Rappahannock County,Educational Services,4
GEORGIA,Thomas County,Educational Services,4
GEORGIA,Toombs County,Educational Services,4
GEORGIA,Upson County,Educational Services,4
UTAH,Sevier County,Educational Services,4
INDIANA,Wabash County,Educational Services,4
INDIANA,Sullivan County,Educational Services,4
INDIANA,Starke County,Educational Services,4
INDIANA,Shelby County,Educational Services,4
INDIANA,Putnam County,Educational Services,4
INDIANA,Owen County,Educational Services,4
INDIANA,Knox County,Educational Services,4
INDIANA,Franklin County,Educational Services,4
INDIANA,Clinton County,Educational Services,4
INDIANA,Clay County,Educational Services,4
VIRGINIA,Buckingham County,Educational Services,4
INDIANA,Brown County,Educational Services,4
ILLINOIS,Piatt County,Educational Services,4
ILLINOIS,Montgomery County,Educational Services,4
ILLINOIS,Marion County,Educational Services,4
ILLINOIS,Lee County,Educational Services,4
ILLINOIS,Jersey County,Educational Services,4
ILLINOIS,Henry County,Educational Services,4
ILLINOIS,Edgar County,Educational Services,4
TEXAS,Chambers County,Educational Services,4
VIRGINIA,Lancaster County,Educational Services,4
ILLINOIS,Boone County,Educational Services,4
VIRGINIA,Louisa County,Educational Services,4
VIRGINIA,Nelson County,Educational Services,4
IDAHO,Fremont County,Educational Services,4
IDAHO,Cassia County,Educational Services,4
VIRGINIA,Northampton County,Educational Services,4
GEORGIA,Walker County,Educational Services,4
ILLINOIS,Crawford County,Educational Services,4
KENTUCKY,Clark County,Educational Services,4
MICHIGAN,Dickinson County,Educational Services,4
OHIO,Van Wert County,Educational Services,4
NORTH CAROLINA,Granville County,Educational Services,4
MISSISSIPPI,Marion County,Educational Services,4
NORTH CAROLINA,Hertford County,Educational Services,4
NEW MEXICO,Cibola County,Educational Services,4
MISSISSIPPI,Grenada County,Educational Services,4
MICHIGAN,Chippewa County,Educational Services,4
MICHIGAN,Cheboygan County,Educational Services,4
MICHIGAN,Gratiot County,Educational Services,4
MICHIGAN,Otsego County,Educational Services,4
MICHIGAN,Sanilac County,Educational Services,4
MICHIGAN,Charlevoix County,Educational Services,4
MONTANA,Sanders County,Educational Services,4
NORTH CAROLINA,Swain County,Educational Services,4
NEBRASKA,Dodge County,Educational Services,4
OKLAHOMA,Kay County,Educational Services,4
MISSISSIPPI,Winston County,Educational Services,4
NEBRASKA,Dawes County,Educational Services,4
MICHIGAN,Mecosta County,Educational Services,4
NEBRASKA,Saunders County,Educational Services,4
SOUTH DAKOTA,Lake County,Educational Services,4
MISSISSIPPI,Panola County,Educational Services,4
MISSISSIPPI,Stone County,Educational Services,4
NEBRASKA,Saline County,Educational Services,4
MISSISSIPPI,Sunflower County,Educational Services,4
NEBRASKA,Scotts Bluff County,Educational Services,4
MISSISSIPPI,Marshall County,Educational Services,4
NORTH CAROLINA,Bladen County,Educational Services,4
MISSISSIPPI,Union County,Educational Services,4
NORTH CAROLINA,Davie County,Educational Services,4
MICHIGAN,Montcalm County,Educational Services,4
SOUTH DAKOTA,Union County,Educational Services,4
OREGON,Wallowa County,Educational Services,4
MISSOURI,Henry County,Educational Services,4
TENNESSEE,Lincoln County,Educational Services,4
NORTH CAROLINA,Ashe County,Educational Services,4
TEXAS,Bee County,Educational Services,4
OHIO,Brown County,Educational Services,4
NORTH DAKOTA,Richland County,Educational Services,4
NORTH DAKOTA,Pierce County,Educational Services,4
OHIO,Coshocton County,Educational Services,4
MONTANA,Carbon County,Educational Services,4
TEXAS,Atascosa County,Educational Services,4
KENTUCKY,Union County,Educational Services,4
LOUISIANA,East Feliciana Parish,Educational Services,4
OKLAHOMA,Pottawatomie County,Educational Services,4
SOUTH CAROLINA,Bamberg County,Educational Services,4
KENTUCKY,Rowan County,Educational Services,4
MINNESOTA,Lake County,Educational Services,4
MISSOURI,Washington County,Educational Services,4
NEBRASKA,York County,Educational Services,4
LOUISIANA,Natchitoches Parish,Educational Services,4
MISSOURI,Texas County,Educational Services,4
MONTANA,Glacier County,Educational Services,4
SOUTH CAROLINA,Lee County,Educational Services,4
PENNSYLVANIA,Greene County,Educational Services,4
MONTANA,Hill County,Educational Services,4
TENNESSEE,Roane County,Educational Services,4
TENNESSEE,Rhea County,Educational Services,4
KENTUCKY,Marshall County,Educational Services,4
MAINE,Piscataquis County,Educational Services,4
NEVADA,Nye County,Educational Services,4
MINNESOTA,Todd County,Educational Services,4
OHIO,Champaign County,Educational Services,4
NEVADA,Lyon County,Educational Services,3
GEORGIA,Crisp County,Educational Services,3
FLORIDA,Washington County,Educational Services,3
OREGON,Jefferson County,Educational Services,3
NEVADA,Humboldt County,Educational Services,3
FLORIDA,Okeechobee County,Educational Services,3
OREGON,Malheur County,Educational Services,3
NEBRASKA,Thurston County,Educational Services,3
GEORGIA,Butts County,Educational Services,3
GEORGIA,Bryan County,Educational Services,3
GEORGIA,Ben Hill County,Educational Services,3
GEORGIA,Dade County,Educational Services,3
GEORGIA,Banks County,Educational Services,3
FLORIDA,Madison County,Educational Services,3
TEXAS,Cass County,Educational Services,3
GEORGIA,Decatur County,Educational Services,3
WASHINGTON,Ferry County,Educational Services,3
GEORGIA,Pike County,Educational Services,3
VIRGINIA,Rockbridge County,Educational Services,3
NEBRASKA,Cass County,Educational Services,3
VIRGINIA,Russell County,Educational Services,3
GEORGIA,Oglethorpe County,Educational Services,3
NEBRASKA,Cedar County,Educational Services,3
VIRGINIA,Smyth County,Educational Services,3
NEBRASKA,Colfax County,Educational Services,3
GEORGIA,Morgan County,Educational Services,3
GEORGIA,Monroe County,Educational Services,3
GEORGIA,Meriwether County,Educational Services,3
VIRGINIA,Surry County,Educational Services,3
NEBRASKA,Cuming County,Educational Services,3
GEORGIA,Macon County,Educational Services,3
GEORGIA,Long County,Educational Services,3
GEORGIA,Laurens County,Educational Services,3
VIRGINIA,Westmoreland County,Educational Services,3
GEORGIA,Lamar County,Educational Services,3
VIRGINIA,Wise County,Educational Services,3
GEORGIA,Jefferson County,Educational Services,3
NEBRASKA,Holt County,Educational Services,3
NEBRASKA,Jefferson County,Educational Services,3
GEORGIA,Harris County,Educational Services,3
NEBRASKA,Phelps County,Educational Services,3
GEORGIA,Grady County,Educational Services,3
NEBRASKA,Red Willow County,Educational Services,3
GEORGIA,Evans County,Educational Services,3
OREGON,Harney County,Educational Services,3
OKLAHOMA,Okmulgee County,Educational Services,3
FLORIDA,Bradford County,Educational Services,3
NORTH CAROLINA,Washington County,Educational Services,3
OHIO,Preble County,Educational Services,3
WISCONSIN,Rusk County,Educational Services,3
ALASKA,Valdez-Cordova Census Area,Educational Services,3
WISCONSIN,Richland County,Educational Services,3
NORTH CAROLINA,Yadkin County,Educational Services,3
ARKANSAS,Arkansas County,Educational Services,3
ARKANSAS,Boone County,Educational Services,3
WISCONSIN,Lafayette County,Educational Services,3
NORTH CAROLINA,Warren County,Educational Services,3
NORTH CAROLINA,Richmond County,Educational Services,3
WISCONSIN,Monroe County,Educational Services,3
NORTH CAROLINA,Pamlico County,Educational Services,3
NORTH CAROLINA,Northampton County,Educational Services,3
NORTH CAROLINA,Montgomery County,Educational Services,3
NORTH CAROLINA,Yancey County,Educational Services,3
OHIO,Pike County,Educational Services,3
ALASKA,Haines Borough,Educational Services,3
OHIO,Pickaway County,Educational Services,3
ALABAMA,Tallapoosa County,Educational Services,3
WISCONSIN,Vilas County,Educational Services,3
NORTH DAKOTA,Barnes County,Educational Services,3
NORTH DAKOTA,McKenzie County,Educational Services,3
ALABAMA,Monroe County,Educational Services,3
ALABAMA,Macon County,Educational Services,3
ALABAMA,Henry County,Educational Services,3
ALABAMA,Hale County,Educational Services,3
OHIO,Crawford County,Educational Services,3
ALABAMA,Chambers County,Educational Services,3
ALABAMA,Blount County,Educational Services,3
OHIO,Gallia County,Educational Services,3
OHIO,Hardin County,Educational Services,3
ARKANSAS,Hempstead County,Educational Services,3
NORTH CAROLINA,Edgecombe County,Educational Services,3
FLORIDA,Baker County,Educational Services,3
NEW MEXICO,Torrance County,Educational Services,3
WEST VIRGINIA,Upshur County,Educational Services,3
OKLAHOMA,Osage County,Educational Services,3
COLORADO,Alamosa County,Educational Services,3
OKLAHOMA,Pontotoc County,Educational Services,3
COLORADO,Clear Creek County,Educational Services,3
WEST VIRGINIA,Mercer County,Educational Services,3
OREGON,Baker County,Educational Services,3
OHIO,Wyandot County,Educational Services,3
COLORADO,Huerfano County,Educational Services,3
COLORADO,Moffat County,Educational Services,3
NEW MEXICO,Socorro County,Educational Services,3
NEW MEXICO,Lea County,Educational Services,3
OREGON,Curry County,Educational Services,3
COLORADO,Saguache County,Educational Services,3
CALIFORNIA,Mono County,Educational Services,3
OKLAHOMA,Major County,Educational Services,3
WISCONSIN,Bayfield County,Educational Services,3
NEW YORK,Yates County,Educational Services,3
CALIFORNIA,Lassen County,Educational Services,3
CALIFORNIA,Inyo County,Educational Services,3
NORTH CAROLINA,Avery County,Educational Services,3
WISCONSIN,Crawford County,Educational Services,3
CALIFORNIA,Del Norte County,Educational Services,3
CALIFORNIA,Colusa County,Educational Services,3
NORTH CAROLINA,Bertie County,Educational Services,3
ARKANSAS,Pike County,Educational Services,3
WISCONSIN,Dunn County,Educational Services,3
ARKANSAS,Nevada County,Educational Services,3
NORTH CAROLINA,Duplin County,Educational Services,3
OKLAHOMA,Bryan County,Educational Services,3
ARKANSAS,Lawrence County,Educational Services,3
NEBRASKA,Butler County,Educational Services,3
MISSOURI,New Madrid County,Educational Services,3
